traj_id,jdt_ref,utc,shower_no,shower_code,la_sun,lst_ref,ra_g,dec_g,L_g,B_g,v_g,L_h,B_h,v_h,a,e,i,peri,node,pi,b,q,true_anomaly,mean_anomaly,QQ,n,T,Tj,re_norot,dec_norot,azimuth_apparent_norot,elevation_apparent_norot,v_init,v_avg,rbeg_lat,rbeg_lon,rbeg_ele,rend_lat,rend_lon,rend_ele,duration,peak_mag,peak_ht,f_param,mass,Qc,mfe,fov_beg,fov_end,stations_num,Stations
20221023202404_Hxaya,2459876.35004827,2022-10-23 20:24:04.170535,902,DCT,210.097647,96.008248,48.15955,3.31159,46.6469,-14.05376,35.02396,358.57065,-12.3753,39.6833,4.253912,0.934487,22.758423,119.350443,30.105936,149.456379,19.705776,0.278687,240.642896,355.726273,8.229138,0.112337,8.773713,1.817002,50.13719,3.53086,269.03961,44.23268,36.4042,36.02214,6.050588,117.760307,88.9412,6.05163,117.82263,82.1387,0.27,-0.5,83.8933,0.742,7.57e-05,65.07,15.34,1,1,2,"MY0005,MY0006"
20221023202705_kSv2t,2459876.3521463713,2022-10-23 20:27:05.446478,386,OBC,210.099737,341.088246,45.66479,58.70418,61.93096,39.50985,42.28209,5.77619,41.01187,40.99352,8.6274,0.940964,64.657007,270.388339,210.09921,120.487549,-64.654228,0.509326,269.611558,358.448922,16.745475,0.038894,25.340814,0.976336,45.22887,58.62611,49.86508,52.20906,43.86058,43.47804,48.548661,2.082505,104.9632,48.499324,1.994511,93.8379,0.32,-0.3,97.3136,0.688,5.02e-05,15.65,57.06,1,1,2,"FR000A,FR000Z"
20221023203051_grlUT,2459876.354762678,2022-10-23 20:30:51.495382,-1,...,210.102343,357.793518,92.58593,63.0443,91.52144,39.62027,57.16914,52.15343,57.48531,43.2335,-10.333512,1.073192,103.458633,237.540189,210.102085,87.642274,-55.144575,0.756328,302.459955,,-21.423351,0.029671,,-0.759137,92.08848,63.00093,35.4756,38.73575,58.3825,56.73413,46.753175,17.843663,105.9949,46.650659,17.737576,94.6228,0.32,0.64,98.8124,0.632,1.54e-05,61.87,63.02,1,1,2,"HR0024,HU0002"
20221023203103_eelFK,2459876.354899932,2022-10-23 20:31:03.354139,384,OLP,210.10248,358.83329,67.79185,3.3271,66.57871,-18.32318,27.37477,355.94742,-18.43217,27.2177,0.850976,0.792034,30.694263,149.329415,30.102491,179.431906,15.092893,0.176974,210.670237,302.000177,1.524979,1.255533,0.785013,6.540191,66.24015,5.55704,102.72567,19.59991,29.84401,29.28916,45.955645,18.819919,94.3875,46.005682,18.498737,85.2402,1.0,0.88,91.4751,0.318,0.000105,85.88,62.23,1,1,2,"HR0024,HU0002"
20221023203227_l5bMf,2459876.355871529,2022-10-23 20:32:27.300093,-1,...,210.103447,343.948372,28.2852,-4.79018,24.50647,-15.33354,24.97237,337.2214,-9.26032,41.03516,8.923745,0.92959,11.556252,76.400791,30.102482,106.503273,11.227988,0.628322,283.59973,358.561332,17.219168,0.036973,26.657618,1.52895,27.4643,-1.85374,130.12788,25.83354,27.53588,27.34555,50.531032,3.598103,100.2987,50.673035,3.332417,88.2856,1.01,0.99,93.0838,0.601,0.000104,21.47,38.05,1,1,4,"BE0005,BE000B,BE000D,BE000G"
20221023204124_9ah4V,2459876.362094087,2022-10-23 20:41:24.929122,-1,...,210.109645,345.233058,2.36661,2.65099,3.22527,1.49152,11.58632,317.17749,0.46986,36.80562,2.069616,0.576677,0.491502,227.659589,210.111602,77.77119,-0.363294,0.876117,312.33793,348.588846,3.263116,0.331032,2.977388,3.544959,1.86192,9.26546,154.44698,49.09693,16.14368,15.68002,47.673074,2.636698,84.2822,47.867308,2.498418,56.4142,2.36,-0.28,72.2073,0.433,0.00314,24.28,62.28,1,1,2,"FR000A,FR000Z"
20221023204245_jY2m5,2459876.363024587,2022-10-23 20:42:45.324301,392,NID,210.110572,348.196459,173.47127,76.63541,119.18889,61.90803,38.32401,303.77351,70.56957,35.85128,1.781441,0.441915,70.6063,183.974865,210.110218,34.085083,-3.748996,0.994196,356.02507,358.619221,2.568686,0.414522,2.377704,3.269934,172.22665,77.66528,358.90306,38.34774,39.8955,36.84739,50.657691,5.264279,96.2016,50.55509,5.267236,87.0569,0.4,1.66,91.6301,0.5,1.3e-05,71.11,39.17,1,1,2,"BE0001,FR000Y"
20221023204302_ZcL1g,2459876.363220045,2022-10-23 20:43:02.211877,557,SFD,210.110766,349.258822,277.49231,67.25428,16.67941,86.98314,21.04566,303.04662,34.79659,36.82852,2.077791,0.522395,34.83187,187.029389,210.110495,37.139884,-4.008182,0.992364,352.970518,358.116301,3.163218,0.32908,2.995045,3.389223,284.0867,68.2022,324.02937,54.98698,23.69788,22.95071,50.916024,6.255721,88.7276,50.869461,6.309088,79.4817,0.48,1.07,83.9547,0.516,7.98e-05,29.51,37.17,1,1,3,"BE0001,FR000Y,LU0001"
20221023204630_40AQK,2459876.365634476,2022-10-23 20:46:30.818712,-1,...,210.113171,3.227126,13.57888,76.28534,62.22038,60.36506,35.34432,336.59534,50.09509,40.04809,4.943879,0.831067,56.083199,229.742268,210.112879,79.855147,-39.29365,0.835182,310.257973,357.118947,9.052575,0.089661,10.992648,1.657617,15.24762,75.63529,6.09742,60.89377,37.06174,36.17509,46.969183,19.352779,102.8072,46.855302,19.335004,79.6624,0.73,-1.01,87.1367,0.677,0.000312,40.36,106.17,1,1,2,"HR0024,HU0002"
20221023204828_VugRa,2459876.3669964606,2022-10-23 20:48:28.494236,-1,...,210.114528,357.438252,242.08041,51.71056,213.24007,69.70276,27.05568,283.82618,38.6497,40.63026,6.696605,0.859143,39.79935,152.576876,210.114008,2.690885,17.145765,0.943267,27.423378,1.10217,12.449944,0.056875,17.329366,1.669118,245.09088,54.16926,323.22267,25.26708,29.06585,26.98148,45.861555,13.072155,98.587,45.670371,13.275168,85.9583,1.17,1.68,93.3784,0.412,6.59e-05,26.92,24.62,1,1,2,"HR001E,HR001P"
20221023205214_dzSHc,2459876.3696101876,2022-10-23 20:52:14.320208,8,ORI,210.117131,7.606606,95.45848,15.8505,95.29562,-7.48691,65.28809,76.2944,-12.02798,40.82152,7.589444,0.931324,163.547633,89.275241,30.115564,119.390805,16.451013,0.521214,270.723305,358.110287,14.657673,0.04714,20.908147,-0.157862,95.27671,16.173,79.22836,12.35432,66.56349,66.34939,41.546562,22.295974,114.7118,41.498303,21.961927,108.4501,0.44,0.41,111.5851,0.499,1.84e-05,44.11,26.26,1,1,2,"BG0001,BG0003"
20221023205303_p3ppG,2459876.3701794613,2022-10-23 20:53:03.505458,2,STA,210.117698,359.257785,44.83443,13.72797,46.37606,-3.13536,26.24807,348.70452,-2.40486,34.20841,1.447009,0.777341,3.63262,123.091322,30.120334,153.211656,3.042806,0.32219,236.905754,334.480484,2.571828,0.566236,1.740634,4.25866,44.21272,15.27035,114.19123,41.64954,28.72363,30.56029,45.834153,13.742731,98.7954,45.866311,13.640101,90.9212,0.42,3.14,94.8402,0.502,5.41e-06,11.1,15.27,1,1,2,"HR001R,HR0021"
20221023205408_TiGcl,2459876.3709264263,2022-10-23 20:54:08.043229,624,XAR,210.118442,349.79168,42.03477,11.53779,43.12017,-4.44107,26.88908,348.15354,-3.33149,35.82485,1.774675,0.798554,4.975417,116.294547,30.11726,146.411806,4.459501,0.357501,243.70634,341.587151,3.191849,0.416894,2.364171,3.632862,41.29531,13.48205,113.75353,33.74469,29.31345,28.32399,52.152836,4.006987,95.8116,52.211404,3.789467,84.8411,0.71,0.66,87.3372,0.772,0.000109,15.26,55.96,1,0,2,"BE000B,NL0009"
20221023205616_N9b7e,2459876.372416904,2022-10-23 20:56:16.820523,-1,...,210.119927,348.411122,162.5939,52.17073,140.49607,40.66991,57.91723,172.96329,63.76735,42.07874,69.959875,0.987555,106.574451,138.473811,210.119478,348.593289,39.450856,0.870675,41.526181,0.044807,139.049074,0.001684,585.159378,-0.254599,162.33805,52.87184,3.73374,11.29414,58.98916,58.86055,48.257825,2.085233,112.0335,47.608578,2.022549,97.8156,1.33,-0.19,107.2538,0.336,0.000121,40.12,44.75,1,1,2,"FR000A,FR000Z"
20221023205727_LzZB2,2459876.373234096,2022-10-23 20:57:27.425893,716,OCH,210.120741,352.317378,46.42362,43.74699,56.59994,25.23054,41.06033,8.46949,25.75552,40.27938,5.514485,0.949612,52.593826,298.664421,210.120485,148.784906,-44.186572,0.277865,241.335538,357.144007,10.751105,0.076111,12.949652,1.335721,46.34702,43.94581,79.77496,53.69297,42.70614,42.21929,51.208504,5.676261,104.1956,51.192316,5.534439,90.303,0.48,0.69,91.7271,0.897,3.68e-05,27.65,57.4,1,1,3,"BE0001,BE0006,NL000K"
20221023210042_TmZWO,2459876.37548959,2022-10-23 21:00:42.300636,28,SOA,210.122988,11.779719,36.72173,12.09874,38.33662,-2.30625,27.6851,347.09766,-1.67468,38.11282,2.682566,0.847598,2.453103,106.494835,30.133321,136.628156,2.352088,0.408828,253.494782,350.466449,4.956305,0.224326,4.393659,2.701281,36.91416,13.30537,135.63138,53.76461,29.9707,29.38478,42.292811,24.342406,99.6693,42.373263,24.236129,82.3913,0.77,-0.66,85.7785,0.804,0.000375,33.55,41.22,1,1,2,"BG0003,BG0004"
20221023210102_7UtUO,2459876.375727804,2022-10-23 21:01:02.882258,-1,...,210.123225,349.57744,160.08244,64.6701,129.19767,50.47198,53.05711,175.11713,81.76002,41.35079,12.084015,0.918851,94.748878,165.918173,210.12278,16.040953,14.032493,0.980611,14.081853,0.237288,23.18742,0.023463,42.0066,0.331112,159.44085,65.30624,4.58478,23.09979,54.22814,53.10239,47.504975,2.057775,104.0332,47.245795,2.027221,91.5987,0.65,1.26,99.8286,0.338,1.48e-05,48.16,47.97,1,1,2,"FR000A,FR000Z"
